step,train_loss,val_loss,lr,grad_norm
34500,0.120853,,1.00e-04,0.3572
34600,0.109233,,1.00e-04,0.3515
34700,0.158903,,1.00e-04,0.3022
34800,0.119139,,1.00e-04,0.3111
34900,0.115512,,1.00e-04,0.4132
35000,0.162799,,1.00e-04,0.2907
35100,0.115630,,1.00e-04,0.3741
35200,0.089712,,1.00e-04,0.3729
35300,0.141002,,1.00e-04,0.2952
35400,0.200748,,1.00e-04,0.2811
35500,0.148290,,1.00e-04,0.2911
35600,0.130603,,1.00e-04,0.2974
35700,0.158547,,1.00e-04,0.2810
35800,0.100734,,1.00e-04,0.3176
35900,0.095827,,1.00e-04,0.2782
36000,0.108543,,1.00e-04,0.3167
36000,,0.133708,,
36100,0.120859,,1.00e-04,0.2748
36200,0.115851,,1.00e-04,0.3275
36300,0.197630,,1.00e-04,0.3045
36400,0.122300,,1.00e-04,0.4132
36500,0.124622,,1.00e-04,0.3011
36600,0.108223,,1.00e-04,0.2859
36700,0.153580,,1.00e-04,0.2861
36800,0.141503,,1.00e-04,0.3107
36900,0.147076,,1.00e-04,0.3506
37000,0.138780,,1.00e-04,0.3606
37100,0.141304,,1.00e-04,0.3274
37200,0.105526,,1.00e-04,0.3088
37300,0.131331,,1.00e-04,0.3368
37400,0.137958,,1.00e-04,0.3558
37500,0.134711,,1.00e-04,0.2990
37600,0.109337,,1.00e-04,0.3529
37700,0.114327,,1.00e-04,0.2895
37800,0.132062,,1.00e-04,0.2935
37900,0.130053,,1.00e-04,0.3114
38000,0.136481,,1.00e-04,0.3093
38000,,0.147489,,
38100,0.144058,,1.00e-04,0.3178
38200,0.136000,,1.00e-04,0.2834
38300,0.117357,,1.00e-04,0.3160
38400,0.123305,,1.00e-04,0.3268
38500,0.113071,,1.00e-04,0.3292
38600,0.078881,,1.00e-04,0.3038
38700,0.099628,,1.00e-04,0.3216
38800,0.150990,,1.00e-04,0.3285
38900,0.167217,,1.00e-04,0.2897
39000,0.142977,,1.00e-04,0.2951
39100,0.157642,,1.00e-04,0.3321
39200,0.138337,,1.00e-04,0.3501
39300,0.195295,,1.00e-04,0.2639
39400,0.116235,,1.00e-04,0.3204
39500,0.127292,,1.00e-04,0.2706
39600,0.121988,,1.00e-04,0.3875
39700,0.155012,,1.00e-04,0.3491
39800,0.131561,,1.00e-04,0.3470
39900,0.122704,,1.00e-04,0.3412
40000,0.118865,,1.00e-04,0.2771
40000,,0.149156,,
40100,0.132023,,1.00e-04,0.3160
40200,0.149323,,1.00e-04,0.3141
40300,0.116653,,1.00e-04,0.3250
40400,0.124015,,1.00e-04,0.2881
40500,0.122000,,1.00e-04,0.3267
40600,0.154838,,1.00e-04,0.3331
40700,0.127186,,1.00e-04,0.3873
40800,0.097300,,1.00e-04,0.3712
40900,0.142777,,1.00e-04,0.2744
41000,0.133162,,1.00e-04,0.2943
41100,0.122693,,1.00e-04,0.3382
41200,0.117470,,1.00e-04,0.3466
41300,0.094726,,1.00e-04,0.3243
41400,0.148644,,1.00e-04,0.3560
