step,train_loss,val_loss,lr,grad_norm
30800,0.175005,,1.00e-04,0.3106
30900,0.140016,,1.00e-04,0.3487
31000,0.143052,,1.00e-04,0.3174
31100,0.150630,,1.00e-04,0.2809
31200,0.110008,,1.00e-04,0.3574
31300,0.159544,,1.00e-04,0.2867
31400,0.130076,,1.00e-04,0.2833
31500,0.137919,,1.00e-04,0.2706
31600,0.120903,,1.00e-04,0.2892
31700,0.120567,,1.00e-04,0.3222
31800,0.147712,,1.00e-04,0.3215
31900,0.157885,,1.00e-04,0.2821
32000,0.109238,,1.00e-04,0.3983
32000,,0.143171,,
32100,0.104269,,1.00e-04,0.3369
32200,0.128003,,1.00e-04,0.3652
32300,0.137753,,1.00e-04,0.2989
32400,0.138188,,1.00e-04,0.2581
32500,0.174861,,1.00e-04,0.2861
32600,0.162919,,1.00e-04,0.2882
32700,0.108991,,1.00e-04,0.3499
32800,0.112210,,1.00e-04,0.2976
32900,0.128632,,1.00e-04,0.2657
33000,0.130480,,1.00e-04,0.3530
33100,0.157061,,1.00e-04,0.3092
33200,0.126633,,1.00e-04,0.3253
33300,0.123920,,1.00e-04,0.3296
33400,0.110274,,1.00e-04,0.2980
33500,0.116024,,1.00e-04,0.3750
33600,0.147293,,1.00e-04,0.2917
33700,0.140667,,1.00e-04,0.2599
33800,0.134864,,1.00e-04,0.3295
33900,0.136798,,1.00e-04,0.3286
34000,0.155920,,1.00e-04,0.3345
34000,,0.143835,,
34100,0.162365,,1.00e-04,0.2932
34200,0.145134,,1.00e-04,0.2840
34300,0.171510,,1.00e-04,0.2801
34400,0.129865,,1.00e-04,0.3532
34500,0.115842,,1.00e-04,0.3609
34600,0.118942,,1.00e-04,0.2964
34700,0.133359,,1.00e-04,0.3358
34800,0.112613,,1.00e-04,0.3172
34900,0.148705,,1.00e-04,0.3024
35000,0.146473,,1.00e-04,0.3867
35100,0.136158,,1.00e-04,0.2633
35200,0.095041,,1.00e-04,0.3052
