step,train_loss,val_loss,lr,grad_norm
21800,0.191429,,1.00e-04,0.2440
21900,0.138449,,1.00e-04,0.3353
22000,0.200258,,1.00e-04,0.2960
22000,,0.141855,,
22100,0.156186,,1.00e-04,0.2911
22200,0.124561,,1.00e-04,0.2894
22300,0.165029,,1.00e-04,0.2663
22400,0.168957,,1.00e-04,0.2533
22500,0.143527,,1.00e-04,0.3001
22600,0.098932,,1.00e-04,0.3527
22700,0.150017,,1.00e-04,0.2662
22800,0.119628,,1.00e-04,0.3229
22900,0.139648,,1.00e-04,0.3088
23000,0.123044,,1.00e-04,0.3135
23100,0.147411,,1.00e-04,0.2392
23200,0.117645,,1.00e-04,0.3753
23300,0.126036,,1.00e-04,0.2888
23400,0.150518,,1.00e-04,0.3202
23500,0.142708,,1.00e-04,0.3456
23600,0.118562,,1.00e-04,0.3204
23700,0.132039,,1.00e-04,0.2667
23800,0.152442,,1.00e-04,0.2858
23900,0.171735,,1.00e-04,0.2746
24000,0.144690,,1.00e-04,0.2665
24000,,0.151996,,
24100,0.106426,,1.00e-04,0.2382
24200,0.147366,,1.00e-04,0.2904
24300,0.111296,,1.00e-04,0.3544
24400,0.127609,,1.00e-04,0.3399
24500,0.142323,,1.00e-04,0.2803
24600,0.160973,,1.00e-04,0.3042
24700,0.132798,,1.00e-04,0.3046
24800,0.141221,,1.00e-04,0.3746
24900,0.155756,,1.00e-04,0.2696
25000,0.113348,,1.00e-04,0.3012
25100,0.119836,,1.00e-04,0.3186
25200,0.160247,,1.00e-04,0.3101
25300,0.139882,,1.00e-04,0.3648
25400,0.123877,,1.00e-04,0.2962
25500,0.176639,,1.00e-04,0.2888
25600,0.122051,,1.00e-04,0.2804
25700,0.144526,,1.00e-04,0.3191
25800,0.127134,,1.00e-04,0.2875
25900,0.138443,,1.00e-04,0.2893
26000,0.136498,,1.00e-04,0.3032
26000,,0.140692,,
26100,0.157855,,1.00e-04,0.3189
26200,0.117040,,1.00e-04,0.3843
26300,0.183391,,1.00e-04,0.2879
26400,0.179037,,1.00e-04,0.2453
26500,0.185270,,1.00e-04,0.2427
26600,0.145185,,1.00e-04,0.2572
26700,0.134723,,1.00e-04,0.3172
26800,0.128428,,1.00e-04,0.3504
